Open_Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1672689600000,1218.88000000,1223.85000000,1211.22000000,1214.00000000,32256.88460000,1672703999999,39252487.81420700,48761,14522.85410000,17674047.60593200,0
1672704000000,1213.99000000,1216.81000000,1211.50000000,1215.59000000,24749.04920000,1672718399999,30053819.96968600,41881,11717.23740000,14229408.55201300,0
1672718400000,1215.58000000,1219.89000000,1213.41000000,1216.61000000,21528.67960000,1672732799999,26190682.37443000,39001,10363.88780000,12608895.66430800,0
1672732800000,1216.61000000,1218.57000000,1213.99000000,1214.98000000,29878.86200000,1672747199999,36338645.85466900,45578,14864.72270000,18079140.57822700,0
1672747200000,1214.98000000,1219.24000000,1206.00000000,1211.76000000,58325.54320000,1672761599999,70767116.12894100,69873,29567.44760000,35884087.07338900,0
1672761600000,1211.77000000,1212.76000000,1204.93000000,1209.50000000,34435.09980000,1672775999999,41613048.63848000,56218,14462.47100000,17477902.73477300,0
1672776000000,1209.51000000,1216.39000000,1209.44000000,1214.55000000,36602.26060000,1672790399999,44362030.28603900,44158,16897.58500000,20481138.40809900,0
1672790400000,1214.56000000,1254.96000000,1212.71000000,1250.74000000,139538.09140000,1672804799999,172695583.04180200,135025,76338.69840000,94417389.25380000,0
1672804800000,1250.73000000,1254.54000000,1247.30000000,1252.00000000,68736.37060000,1672819199999,85962103.71518200,72931,31897.17740000,39891821.32347200,0
1672819200000,1252.00000000,1264.00000000,1248.59000000,1251.58000000,46922.32470000,1672833599999,58757025.51357000,63469,23989.41510000,30042488.94146500,0
1672833600000,1251.59000000,1258.09000000,1241.89000000,1255.88000000,71909.52540000,1672847999999,89972576.77881400,88651,37652.03460000,47114140.51202100,0
1672848000000,1255.89000000,1272.60000000,1251.12000000,1254.38000000,94491.38600000,1672862399999,119072907.87879300,111002,49941.27170000,62944826.92820000,0
1672862400000,1254.39000000,1257.70000000,1245.44000000,1256.90000000,36201.96670000,1672876799999,45345564.22989400,55342,17039.74550000,21347487.66220600,0
1672876800000,1256.91000000,1259.95000000,1252.19000000,1252.77000000,44218.63220000,1672891199999,55471083.28356500,55320,20568.41960000,25804162.83259300,0
1672891200000,1252.77000000,1255.00000000,1247.48000000,1251.03000000,39603.84740000,1672905599999,49589106.75973100,49296,18053.01360000,22611296.96642100,0
1672905600000,1251.03000000,1256.14000000,1245.30000000,1255.91000000,51362.32830000,1672919999999,64278875.28523600,59253,29632.17090000,37102366.21749000,0
1672920000000,1255.90000000,1256.01000000,1242.81000000,1249.11000000,74344.84350000,1672934399999,92885905.83736400,76486,36719.50190000,45886214.60355600,0
1672934400000,1249.11000000,1254.98000000,1246.71000000,1253.62000000,27613.94710000,1672948799999,34517310.57024200,49810,14727.89270000,18413346.54942300,0
1672948800000,1253.62000000,1254.31000000,1248.19000000,1251.24000000,35661.73150000,1672963199999,44637537.54197200,49280,17695.56420000,22150901.65795700,0
1672963200000,1251.25000000,1257.98000000,1248.17000000,1251.02000000,36134.62530000,1672977599999,45267876.61888300,50342,18789.04770000,23538815.86330800,0
1672977600000,1251.01000000,1252.30000000,1246.00000000,1247.70000000,36517.43470000,1672991999999,45605262.11004200,49500,15911.30990000,19871766.51719400,0
1672992000000,1247.69000000,1250.00000000,1237.98000000,1243.40000000,43029.38280000,1673006399999,53578536.58901500,67723,20510.74120000,25541653.90325200,0
1673006400000,1243.40000000,1265.00000000,1236.00000000,1263.01000000,115164.38710000,1673020799999,143855214.60755300,117926,60845.68640000,76017276.76433500,0
1673020800000,1263.01000000,1276.70000000,1260.22000000,1273.13000000,74675.94770000,1673035199999,94607010.83705900,94074,36349.25720000,46064518.08131900,0
1673035200000,1273.12000000,1276.36000000,1265.17000000,1269.14000000,36822.42470000,1673049599999,46734446.35005100,65275,19871.44980000,25218845.79342800,0
1673049600000,1269.13000000,1271.09000000,1265.22000000,1266.54000000,20304.68990000,1673063999999,25755375.37865600,42759,10555.83130000,13389421.26867100,0
1673064000000,1266.53000000,1267.00000000,1262.24000000,1266.80000000,19896.17910000,1673078399999,25163267.25646100,35743,9700.71630000,12268840.19883500,0
1673078400000,1266.80000000,1267.11000000,1262.89000000,1263.79000000,20714.82410000,1673092799999,26203435.03697800,38829,9215.12380000,11657061.10161400,0
1673092800000,1263.79000000,1265.76000000,1261.30000000,1265.07000000,20223.14740000,1673107199999,25553120.01572600,45789,10113.73630000,12779912.95222700,0
1673107200000,1265.07000000,1266.00000000,1261.87000000,1265.38000000,14637.70410000,1673121599999,18499214.42226500,35865,6750.39230000,8531480.12843600,0
1673121600000,1265.39000000,1266.61000000,1261.87000000,1264.07000000,33697.74380000,1673135999999,42586137.90157000,43809,18122.07490000,22903716.35604000,0
1673136000000,1264.06000000,1264.61000000,1257.77000000,1262.84000000,30603.32520000,1673150399999,38587832.65954500,48122,13208.38000000,16653362.10765400,0
1673150400000,1262.84000000,1264.55000000,1262.20000000,1263.64000000,9805.36280000,1673164799999,12385861.83981500,32996,4894.43910000,6182116.81867000,0
1673164800000,1263.65000000,1266.22000000,1261.65000000,1261.67000000,19946.66090000,1673179199999,25198717.31158100,41690,9821.54690000,12407563.90646100,0
1673179200000,1261.68000000,1275.54000000,1261.27000000,1274.25000000,32142.49000000,1673193599999,40769726.94386500,49962,18169.66720000,23046745.10139100,0
1673193600000,1274.25000000,1280.00000000,1261.91000000,1265.09000000,40483.93960000,1673207999999,51335170.65862800,61798,20291.98620000,25733759.28496100,0
1673208000000,1265.09000000,1296.00000000,1264.39000000,1290.16000000,80655.00630000,1673222399999,103096068.11662400,106930,47115.51360000,60233297.52743200,0
1673222400000,1290.15000000,1313.61000000,1285.44000000,1310.37000000,152374.42240000,1673236799999,198002185.61599100,159978,80843.32310000,105057286.71654400,0
1673236800000,1310.37000000,1314.73000000,1307.58000000,1311.92000000,60588.94680000,1673251199999,79418843.58101700,78755,30729.74480000,40282552.59613700,0
1673251200000,1311.93000000,1327.50000000,1308.34000000,1318.27000000,93762.77380000,1673265599999,123608890.53740900,102382,48956.04130000,64536037.20762500,0
1673265600000,1318.28000000,1341.86000000,1315.44000000,1335.68000000,113559.72900000,1673279999999,150645251.96862700,121869,56082.26580000,74413113.95842300,0
1673280000000,1335.69000000,1344.91000000,1330.11000000,1330.12000000,94295.35340000,1673294399999,126209253.16278500,113254,44900.13590000,60104423.16773200,0
1673294400000,1330.11000000,1331.62000000,1315.08000000,1320.39000000,67146.47140000,1673308799999,88755661.06456800,91321,28752.78670000,38000576.42449600,0
1673308800000,1320.40000000,1329.45000000,1316.80000000,1324.71000000,86084.15040000,1673323199999,113974638.68704900,77390,42118.01010000,55772576.50101300,0
1673323200000,1324.71000000,1328.68000000,1322.49000000,1323.23000000,70803.23990000,1673337599999,93831654.82880800,62522,34381.74780000,45565991.37701900,0
1673337600000,1323.22000000,1334.73000000,1321.70000000,1329.32000000,53075.21660000,1673351999999,70571234.65809500,70703,26673.31490000,35462879.95047000,0
