Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number_of_Trades,Taker_buy_volume,Taker_Buy_Quote_Volume,Ignore
1683208800000,28761.52000000,28938.54000000,28736.33000000,28783.65000000,3061.58107000,1683212399999,88248636.00368050,60356,1430.66241000,41241184.58641230,0
1683212400000,28783.66000000,28949.66000000,28774.58000000,28866.19000000,1960.27071000,1683215999999,56623256.29900620,42851,983.39650000,28405714.10418050,0
1683216000000,28866.20000000,28972.92000000,28795.01000000,28924.82000000,1891.09912000,1683219599999,54644379.51029290,43476,860.95359000,24879659.47072610,0
1683219600000,28924.83000000,28957.64000000,28792.00000000,28842.29000000,1362.28084000,1683223199999,39328643.82974690,38864,600.85276000,17343941.88555450,0
1683223200000,28842.29000000,28855.42000000,28673.59000000,28799.23000000,2039.99627000,1683226799999,58690384.20263320,48230,924.86744000,26610104.39628920,0
1683226800000,28799.23000000,28897.22000000,28723.08000000,28895.12000000,1511.57239000,1683230399999,43579676.06997280,41676,809.56250000,23338856.91023600,0
1683230400000,28895.31000000,28920.00000000,28816.48000000,28870.16000000,973.21274000,1683233999999,28086667.63090370,31673,454.28162000,13110366.67374480,0
1683234000000,28870.16000000,28895.28000000,28784.25000000,28839.98000000,697.03944000,1683237599999,20099913.64803550,24523,283.77131000,8182184.71373490,0
1683237600000,28839.98000000,28852.17000000,28748.00000000,28779.90000000,865.66577000,1683241199999,24920771.15955340,26917,387.06239000,11141960.67073880,0
1683241200000,28779.91000000,28856.51000000,28770.34000000,28838.16000000,632.95219000,1683244799999,18244907.81276860,18544,294.04936000,8475645.36133820,0
1683244800000,28838.16000000,28961.21000000,28819.77000000,28937.63000000,1340.11631000,1683248399999,38719683.14847270,30138,658.73665000,19035153.98936100,0
1683248400000,28937.62000000,29349.00000000,28880.03000000,29325.74000000,4167.38231000,1683251999999,121622122.23747090,85612,2124.64785000,61982022.95201840,0
1683252000000,29325.75000000,29531.00000000,29200.00000000,29246.26000000,4145.20483000,1683255599999,121633436.79820820,88323,2138.46135000,62762001.79793000,0
1683255600000,29246.27000000,29295.09000000,29144.44000000,29198.23000000,2294.61530000,1683259199999,67059038.39718800,37804,1084.83516000,31709710.01878990,0
1683259200000,29198.22000000,29275.00000000,29179.81000000,29228.08000000,2306.77755000,1683262799999,67448891.25211090,36892,1315.88057000,38474570.43350800,0
1683262800000,29228.08000000,29258.77000000,29157.56000000,29198.00000000,903.49186000,1683266399999,26390847.69189790,25927,384.71212000,11237846.53452530,0
1683266400000,29198.01000000,29230.87000000,29125.01000000,29163.80000000,1263.33509000,1683269999999,36873452.58918480,29595,521.97239000,15234336.40092730,0
1683270000000,29163.79000000,29241.42000000,29029.87000000,29062.29000000,2549.32065000,1683273599999,74171249.49611160,59364,1243.03944000,36157223.14228370,0
1683273600000,29062.29000000,29118.46000000,29036.31000000,29058.00000000,1334.10952000,1683277199999,38792871.12971230,35397,575.15128000,16723551.82718000,0
1683277200000,29058.01000000,29141.14000000,29022.27000000,29101.00000000,1102.34450000,1683280799999,32063101.59602000,31919,540.46375000,15721375.11922940,0
1683280800000,29100.99000000,29137.99000000,29069.23000000,29110.68000000,1405.20482000,1683284399999,40895049.21280090,29986,624.74034000,18181963.02675610,0
1683284400000,29110.67000000,29195.97000000,29069.06000000,29149.36000000,1464.64879000,1683287999999,42660814.43726050,33808,716.42696000,20869756.28393250,0
1683288000000,29149.36000000,29274.23000000,28800.00000000,28952.39000000,5909.87380000,1683291599999,171452089.92244920,119724,2860.34110000,83003953.77788040,0
1683291600000,28952.38000000,29254.41000000,28897.31000000,29175.57000000,3546.70158000,1683295199999,103113192.93211880,79194,1962.69077000,57076626.52055000,0
1683295200000,29175.57000000,29439.99000000,29113.42000000,29259.19000000,4620.42913000,1683298799999,135285987.48041610,86336,2341.81373000,68560617.07036380,0
1683298800000,29259.20000000,29371.68000000,29159.25000000,29356.45000000,2596.07815000,1683302399999,75989384.44999050,61859,1279.07630000,37444461.38770870,0
1683302400000,29356.44000000,29677.00000000,29356.44000000,29586.93000000,6285.16295000,1683305999999,185708151.66896200,122213,3325.32892000,98241942.02132300,0
1683306000000,29586.94000000,29677.00000000,29454.24000000,29460.39000000,2591.87894000,1683309599999,76645764.13243570,59617,1119.02816000,33100484.66369550,0
1683309600000,29460.39000000,29562.01000000,29315.78000000,29399.16000000,2531.69332000,1683313199999,74537965.02068220,61194,1228.81785000,36180943.43993970,0
1683313200000,29399.16000000,29561.66000000,29374.95000000,29561.66000000,1653.74073000,1683316799999,48704845.49014260,43173,931.73265000,27442179.65709710,0
1683316800000,29561.66000000,29588.04000000,29450.69000000,29493.12000000,1403.86794000,1683320399999,41422985.99634150,36372,606.09113000,17884771.96015220,0
1683320400000,29493.13000000,29545.32000000,29453.27000000,29486.78000000,912.46159000,1683323999999,26913614.16533790,28698,423.81022000,12500273.05498120,0
1683324000000,29486.79000000,29650.00000000,29475.58000000,29589.73000000,1200.48174000,1683327599999,35487358.76284570,36106,682.23932000,20168979.75752130,0
1683327600000,29589.73000000,29599.18000000,29475.35000000,29505.61000000,886.90908000,1683331199999,26194916.89297310,28776,381.94805000,11280597.80477580,0
1683331200000,29505.60000000,29820.00000000,29475.37000000,29671.11000000,2876.15709000,1683334799999,85331005.36163770,76465,1595.68182000,47342994.31288480,0
1683334800000,29671.12000000,29689.05000000,29491.90000000,29541.39000000,1775.51947000,1683338399999,52527519.68842060,53334,789.84869000,23366339.64605880,0
1683338400000,29541.38000000,29550.39000000,29435.13000000,29463.76000000,1344.01472000,1683341999999,39613965.49303390,37219,535.51746000,15784853.71321010,0
1683342000000,29463.77000000,29466.76000000,29337.83000000,29353.61000000,2321.96356000,1683345599999,68227522.77923370,52862,978.48867000,28749294.27669780,0
1683345600000,29353.62000000,29427.61000000,29317.08000000,29343.31000000,1068.49294000,1683349199999,31377755.73098140,35508,523.09323000,15362734.52953100,0
1683349200000,29343.30000000,29385.18000000,29333.05000000,29346.99000000,695.91934000,1683352799999,20432575.89735120,25418,351.59958000,10323008.75200850,0
1683352800000,29346.99000000,29388.56000000,29250.65000000,29386.17000000,1516.70255000,1683356399999,44485124.79644410,46075,645.54193000,18937223.24167830,0
1683356400000,29386.18000000,29437.01000000,29362.50000000,29363.35000000,963.10696000,1683359999999,28306079.06054360,37335,448.00604000,13168118.93012150,0
1683360000000,29363.34000000,29367.20000000,29132.14000000,29330.12000000,2790.29274000,1683363599999,81652802.42658310,69215,1365.00632000,39948075.40369760,0
1683363600000,29330.12000000,29356.47000000,29280.00000000,29285.06000000,832.71111000,1683367199999,24411546.02300760,32371,399.52555000,11712811.45439590,0
1683367200000,29285.05000000,29327.71000000,29207.11000000,29238.57000000,2393.13084000,1683370799999,70003805.00491170,49264,973.68416000,28484155.02887070,0
1683370800000,29238.58000000,29271.33000000,29200.01000000,29266.15000000,1206.86805000,1683374399999,35291310.65095080,31948,604.94099000,17690704.93170740,0
1683374400000,29266.16000000,29267.24000000,29000.00000000,29096.85000000,3078.70455000,1683377999999,89661463.26015990,68312,1315.30366000,38302713.72984700,0
1683378000000,29096.85000000,29096.86000000,28863.89000000,28935.84000000,3700.88519000,1683381599999,107243772.54299220,81661,1879.34313000,54451231.07765180,0
1683381600000,28935.84000000,28935.85000000,28526.67000000,28606.61000000,7001.35513000,1683385199999,200593512.33414930,130051,3282.57325000,94019201.78221830,0
